HDFname,Product,Date,Site,ProcessDate,Band,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MOD15A2.A2004233.fn_usmetypp.005.2007307234528.FparExtra_QC,MOD15A2,A2004233,fn_usmetypp,2007307234528,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,10000000,00000000,10000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10001000,00000000
MOD15A2.A2004233.fn_usmetypp.005.2007307234528.FparLai_QC,MOD15A2,A2004233,fn_usmetypp,2007307234528,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100000,00100000,00000000,00000000,00100000,00100000,00100000,00100000,00100000,00000000,00000000,00100000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004233.fn_usmetypp.005.2007307234528.FparStdDev_1km,MOD15A2,A2004233,fn_usmetypp,2007307234528,FparStdDev_1km,13,13,12,12,11,11,12,13,12,11,11,13,11,10,12,11,10,11,11,9,11,12,12,12,6,8,4,6,13,13,8,3,6,5,4,8,4,8,4,5,8,9,9,9,9,8,9,3,8
MOD15A2.A2004233.fn_usmetypp.005.2007307234528.Fpar_1km,MOD15A2,A2004233,fn_usmetypp,2007307234528,Fpar_1km,68,68,73,77,80,80,79,69,75,80,78,77,87,86,74,79,83,83,84,89,83,74,79,83,69,55,54,70,79,78,66,64,56,54,61,66,46,65,48,61,63,56,55,56,55,55,55,42,53
MOD15A2.A2004233.fn_usmetypp.005.2007307234528.LaiStdDev_1km,MOD15A2,A2004233,fn_usmetypp,2007307234528,LaiStdDev_1km,15,15,16,18,18,18,19,16,17,19,18,19,21,19,17,18,19,19,20,19,20,17,19,20,3,4,2,3,20,20,4,1,2,2,2,4,1,4,1,2,3,4,3,4,3,3,3,1,3
MOD15A2.A2004233.fn_usmetypp.005.2007307234528.Lai_1km,MOD15A2,A2004233,fn_usmetypp,2007307234528,Lai_1km,21,21,25,28,31,31,32,22,26,32,30,29,44,41,25,31,35,35,38,46,36,26,31,36,17,15,13,18,31,31,16,15,14,13,13,16,10,15,10,14,15,12,12,12,12,11,12,12,11
MOD15A2.A2004241.fn_usmetypp.005.2008257163818.FparExtra_QC,MOD15A2,A2004241,fn_usmetypp,2008257163818,FparExtra_QC,00000000,01000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000,10000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,10000000,00000000
MOD15A2.A2004241.fn_usmetypp.005.2008257163818.FparLai_QC,MOD15A2,A2004241,fn_usmetypp,2008257163818,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004241.fn_usmetypp.005.2008257163818.FparStdDev_1km,MOD15A2,A2004241,fn_usmetypp,2008257163818,FparStdDev_1km,10,10,9,9,8,8,4,8,7,8,8,4,10,4,9,9,8,4,3,4,9,8,8,6,4,9,11,9,6,7,7,10,10,10,10,6,3,7,4,5,6,3,0,3,5,3,5,3,7
MOD15A2.A2004241.fn_usmetypp.005.2008257163818.Fpar_1km,MOD15A2,A2004241,fn_usmetypp,2008257163818,Fpar_1km,78,79,71,77,81,82,71,69,69,82,81,71,66,73,71,78,83,76,70,71,78,70,76,68,65,66,68,66,69,64,61,64,66,66,64,62,55,60,56,60,61,59,62,59,61,59,61,43,56
MOD15A2.A2004241.fn_usmetypp.005.2008257163818.LaiStdDev_1km,MOD15A2,A2004241,fn_usmetypp,2008257163818,LaiStdDev_1km,12,13,6,12,11,12,2,5,4,12,11,2,5,2,7,12,12,3,2,2,11,5,7,3,2,5,12,5,3,3,3,5,5,5,5,3,1,3,1,2,2,1,0,1,2,1,2,1,3
MOD15A2.A2004241.fn_usmetypp.005.2008257163818.Lai_1km,MOD15A2,A2004241,fn_usmetypp,2008257163818,Lai_1km,26,27,19,25,28,30,18,18,17,29,28,18,17,19,19,26,30,21,18,18,26,18,22,17,15,17,23,17,17,15,14,16,17,16,16,14,12,13,13,13,13,13,14,13,14,13,13,10,12
MOD15A2.A2004249.fn_usmetypp.005.2007313182139.FparExtra_QC,MOD15A2,A2004249,fn_usmetypp,2007313182139,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000,10000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000
MOD15A2.A2004249.fn_usmetypp.005.2007313182139.FparLai_QC,MOD15A2,A2004249,fn_usmetypp,2007313182139,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004249.fn_usmetypp.005.2007313182139.FparStdDev_1km,MOD15A2,A2004249,fn_usmetypp,2007313182139,FparStdDev_1km,11,11,9,9,8,8,7,7,7,7,8,3,8,8,9,8,2,7,8,8,6,7,5,2,3,9,10,9,6,5,6,0,7,7,4,5,4,0,4,5,6,5,4,4,5,4,9,4,8
MOD15A2.A2004249.fn_usmetypp.005.2007313182139.Fpar_1km,MOD15A2,A2004249,fn_usmetypp,2007313182139,Fpar_1km,74,74,72,77,85,84,69,69,69,82,84,70,64,70,71,84,86,70,66,69,75,70,74,69,65,65,67,65,71,65,63,62,62,61,59,62,49,62,53,61,61,60,58,59,60,59,57,40,56
MOD15A2.A2004249.fn_usmetypp.005.2007313182139.LaiStdDev_1km,MOD15A2,A2004249,fn_usmetypp,2007313182139,LaiStdDev_1km,12,12,7,11,14,13,4,4,4,12,14,2,4,5,6,14,2,4,4,5,4,4,3,1,1,4,6,4,3,2,2,0,3,3,2,2,1,0,1,2,2,2,1,1,2,1,3,1,3
MOD15A2.A2004249.fn_usmetypp.005.2007313182139.Lai_1km,MOD15A2,A2004249,fn_usmetypp,2007313182139,Lai_1km,23,23,20,24,33,33,18,18,17,29,32,18,15,18,19,32,30,18,16,18,20,18,20,17,15,16,17,16,18,15,14,14,14,14,13,14,10,14,11,14,14,13,12,12,13,12,12,9,12
MOD15A2.A2004257.fn_usmetypp.005.2007316142313.FparExtra_QC,MOD15A2,A2004257,fn_usmetypp,2007316142313,FparExtra_QC,00001000,01001000,01001000,00000000,01001000,01000000,00000000,01001000,00100000,01001000,01000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,00000000,00110000,00000000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,00000000,00000000,00110000,00110000,00000000,10000000,00000000,10000000,01000000,01000000,01000000,00000000,00000000,00100000,01000000,01000000,11000000,00000000
MOD15A2.A2004257.fn_usmetypp.005.2007316142313.FparLai_QC,MOD15A2,A2004257,fn_usmetypp,2007316142313,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00010000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,01100001,00000000,00000000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00001000,00000000,00000000,00000000,00000000
MOD15A2.A2004257.fn_usmetypp.005.2007316142313.FparStdDev_1km,MOD15A2,A2004257,fn_usmetypp,2007316142313,FparStdDev_1km,9,8,7,0,5,13,3,6,10,7,8,4,8,3,4,9,248,3,9,8,10,6,5,8,10,10,8,11,8,10,8,10,10,10,11,8,0,8,0,9,8,9,8,8,10,8,7,4,9
MOD15A2.A2004257.fn_usmetypp.005.2007316142313.Fpar_1km,MOD15A2,A2004257,fn_usmetypp,2007316142313,Fpar_1km,56,54,52,42,36,28,53,49,49,42,31,48,59,53,47,35,90,53,60,60,67,49,54,60,56,57,60,67,60,54,52,55,57,59,64,52,31,51,31,55,54,59,45,46,50,53,52,32,49
MOD15A2.A2004257.fn_usmetypp.005.2007316142313.LaiStdDev_1km,MOD15A2,A2004257,fn_usmetypp,2007316142313,LaiStdDev_1km,3,3,2,0,1,3,1,2,3,2,2,1,3,1,1,2,248,1,4,4,6,2,2,4,4,4,4,8,4,4,3,4,4,4,7,3,0,3,0,3,3,4,2,2,3,3,3,1,3
MOD15A2.A2004257.fn_usmetypp.005.2007316142313.Lai_1km,MOD15A2,A2004257,fn_usmetypp,2007316142313,Lai_1km,12,12,11,9,7,5,12,10,10,9,5,10,14,12,10,6,45,12,15,15,17,10,12,15,13,13,14,18,14,12,12,13,13,13,16,11,6,11,6,12,12,13,9,9,10,12,11,7,10
MOD15A2.A2004265.fn_usmetypp.005.2007319092546.FparExtra_QC,MOD15A2,A2004265,fn_usmetypp,2007319092546,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000,10000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000
MOD15A2.A2004265.fn_usmetypp.005.2007319092546.FparLai_QC,MOD15A2,A2004265,fn_usmetypp,2007319092546,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004265.fn_usmetypp.005.2007319092546.FparStdDev_1km,MOD15A2,A2004265,fn_usmetypp,2007319092546,FparStdDev_1km,11,11,12,11,10,10,12,7,13,10,9,10,3,11,12,10,8,11,3,12,10,13,11,12,5,9,10,9,12,6,7,5,10,10,10,9,4,7,5,9,9,6,7,6,7,9,10,4,9
MOD15A2.A2004265.fn_usmetypp.005.2007319092546.Fpar_1km,MOD15A2,A2004265,fn_usmetypp,2007319092546,Fpar_1km,73,74,75,79,80,80,74,69,71,81,80,79,71,75,74,80,87,76,72,74,79,76,76,74,67,67,72,68,74,68,64,67,67,67,67,65,48,64,50,65,64,61,58,60,59,59,59,40,57
MOD15A2.A2004265.fn_usmetypp.005.2007319092546.LaiStdDev_1km,MOD15A2,A2004265,fn_usmetypp,2007319092546,LaiStdDev_1km,13,13,16,17,16,16,15,5,14,17,13,14,1,15,16,17,18,16,2,16,14,16,14,16,2,5,8,5,15,3,3,2,8,8,8,4,1,3,2,5,4,2,2,2,3,3,4,1,3
MOD15A2.A2004265.fn_usmetypp.005.2007319092546.Lai_1km,MOD15A2,A2004265,fn_usmetypp,2007319092546,Lai_1km,23,23,25,29,30,30,25,18,23,32,28,28,18,25,25,30,39,26,18,25,28,27,26,24,16,17,20,17,24,17,15,16,18,18,18,16,10,15,11,16,16,14,12,13,13,13,13,9,12
MOD15A2.A2004273.fn_usmetypp.005.2007322011435.FparExtra_QC,MOD15A2,A2004273,fn_usmetypp,2007322011435,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000,10000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000
MOD15A2.A2004273.fn_usmetypp.005.2007322011435.FparLai_QC,MOD15A2,A2004273,fn_usmetypp,2007322011435,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004273.fn_usmetypp.005.2007322011435.FparStdDev_1km,MOD15A2,A2004273,fn_usmetypp,2007322011435,FparStdDev_1km,10,10,10,8,8,8,9,10,10,8,8,9,3,7,10,8,7,7,12,11,7,11,9,3,0,7,12,3,9,6,5,9,5,5,11,6,3,5,4,4,5,8,8,8,8,8,8,5,7
MOD15A2.A2004273.fn_usmetypp.005.2007322011435.Fpar_1km,MOD15A2,A2004273,fn_usmetypp,2007322011435,Fpar_1km,75,75,76,81,82,82,84,76,77,82,81,83,74,89,76,83,87,89,74,75,89,79,84,80,72,69,73,75,84,73,70,66,68,68,66,71,54,69,57,69,70,64,64,64,64,64,65,45,63
MOD15A2.A2004273.fn_usmetypp.005.2007322011435.LaiStdDev_1km,MOD15A2,A2004273,fn_usmetypp,2007322011435,LaiStdDev_1km,11,11,12,13,13,13,16,12,13,13,13,14,1,17,12,14,14,16,13,13,17,14,15,2,0,4,13,2,16,3,2,4,3,3,9,3,1,2,1,2,2,3,3,3,3,3,3,1,2
MOD15A2.A2004273.fn_usmetypp.005.2007322011435.Lai_1km,MOD15A2,A2004273,fn_usmetypp,2007322011435,Lai_1km,18,18,19,23,23,23,27,19,20,23,23,24,14,35,19,24,28,34,24,24,33,21,26,18,13,18,23,15,28,14,13,16,16,16,18,14,9,13,10,12,13,11,11,11,11,11,11,8,11
MOD15A2.A2004281.fn_usmetypp.005.2007325021320.FparExtra_QC,MOD15A2,A2004281,fn_usmetypp,2007325021320,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000,10000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000
MOD15A2.A2004281.fn_usmetypp.005.2007325021320.FparLai_QC,MOD15A2,A2004281,fn_usmetypp,2007325021320,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004281.fn_usmetypp.005.2007325021320.FparStdDev_1km,MOD15A2,A2004281,fn_usmetypp,2007325021320,FparStdDev_1km,9,10,9,9,7,7,9,11,9,7,7,10,10,8,9,7,7,8,8,8,7,10,7,9,11,11,9,10,10,10,11,11,11,11,11,11,4,12,0,12,12,12,9,10,9,10,10,5,11
MOD15A2.A2004281.fn_usmetypp.005.2007325021320.Fpar_1km,MOD15A2,A2004281,fn_usmetypp,2007325021320,Fpar_1km,73,72,75,76,80,80,77,70,75,80,80,75,77,81,75,79,82,82,82,82,81,75,81,78,77,78,83,77,76,76,74,77,81,78,77,73,51,73,53,73,71,70,68,68,67,68,68,42,61
MOD15A2.A2004281.fn_usmetypp.005.2007325021320.LaiStdDev_1km,MOD15A2,A2004281,fn_usmetypp,2007325021320,LaiStdDev_1km,5,5,9,9,9,9,12,5,10,10,10,10,13,13,9,9,11,14,14,14,11,10,11,13,13,14,15,13,11,12,12,14,17,14,13,12,1,12,0,12,11,10,4,4,4,5,5,1,3
MOD15A2.A2004281.fn_usmetypp.005.2007325021320.Lai_1km,MOD15A2,A2004281,fn_usmetypp,2007325021320,Lai_1km,16,15,17,18,20,20,19,14,18,20,20,18,20,22,17,20,22,23,24,24,21,18,21,20,20,21,25,20,18,19,18,20,26,21,20,17,8,17,9,17,16,15,13,13,13,13,13,7,10
MOD15A2.A2004289.fn_usmetypp.005.2007326061603.FparExtra_QC,MOD15A2,A2004289,fn_usmetypp,2007326061603,FparExtra_QC,00000000,00000000,00000000,00000000,00110000,00110000,00000000,00000000,00000000,00110000,00110000,00000000,00000000,00000000,00000000,00000000,00110000,00110000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000,10000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000
MOD15A2.A2004289.fn_usmetypp.005.2007326061603.FparLai_QC,MOD15A2,A2004289,fn_usmetypp,2007326061603,FparLai_QC,00000000,00000000,00000000,00000000,00001000,00001000,00000000,00000000,00000000,00001000,00001000,00000000,00000000,00000000,00000000,01100001,00001000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004289.fn_usmetypp.005.2007326061603.FparStdDev_1km,MOD15A2,A2004289,fn_usmetypp,2007326061603,FparStdDev_1km,5,5,6,0,11,11,4,6,6,8,9,0,8,5,5,248,8,11,9,8,4,6,4,8,9,9,8,8,7,6,9,8,9,9,9,9,7,9,0,8,9,8,7,7,7,7,7,0,6
MOD15A2.A2004289.fn_usmetypp.005.2007326061603.Fpar_1km,MOD15A2,A2004289,fn_usmetypp,2007326061603,Fpar_1km,45,46,48,42,42,42,56,47,48,37,42,53,62,57,46,89,37,47,66,65,57,48,56,63,63,63,63,62,60,59,58,62,65,65,65,56,35,55,40,61,56,53,51,51,51,51,50,22,48
MOD15A2.A2004289.fn_usmetypp.005.2007326061603.LaiStdDev_1km,MOD15A2,A2004289,fn_usmetypp,2007326061603,LaiStdDev_1km,1,1,1,0,2,2,1,1,1,1,2,0,3,1,1,248,1,2,3,3,1,1,1,3,3,3,3,3,2,2,3,3,3,3,3,2,1,2,0,3,2,2,2,2,2,2,2,0,1
MOD15A2.A2004289.fn_usmetypp.005.2007326061603.Lai_1km,MOD15A2,A2004289,fn_usmetypp,2007326061603,Lai_1km,7,7,7,6,6,6,9,7,7,5,6,9,11,10,7,42,5,7,13,12,10,7,9,12,12,12,11,11,10,10,10,11,12,12,12,9,5,9,6,11,9,8,8,8,8,8,8,3,7
MOD15A2.A2004297.fn_usmetypp.005.2007328114416.FparExtra_QC,MOD15A2,A2004297,fn_usmetypp,2007328114416,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000,11000000,00000000,00000000,00000000,01000000,01000000,01000000,01000000,01000000,10000000,00000000
MOD15A2.A2004297.fn_usmetypp.005.2007328114416.FparLai_QC,MOD15A2,A2004297,fn_usmetypp,2007328114416,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004297.fn_usmetypp.005.2007328114416.FparStdDev_1km,MOD15A2,A2004297,fn_usmetypp,2007328114416,FparStdDev_1km,10,11,10,8,8,8,8,11,10,7,8,8,8,6,10,7,6,5,7,7,7,8,7,7,9,9,6,10,8,8,11,9,3,8,9,10,3,11,4,11,11,12,11,12,12,12,12,4,9
MOD15A2.A2004297.fn_usmetypp.005.2007328114416.Fpar_1km,MOD15A2,A2004297,fn_usmetypp,2007328114416,Fpar_1km,67,71,76,81,81,82,84,73,77,84,83,81,84,87,76,84,88,90,88,88,87,81,86,87,83,84,91,79,82,82,79,84,80,81,84,78,54,78,58,78,77,70,77,73,73,72,72,45,66
MOD15A2.A2004297.fn_usmetypp.005.2007328114416.LaiStdDev_1km,MOD15A2,A2004297,fn_usmetypp,2007328114416,LaiStdDev_1km,4,10,11,12,13,13,14,11,12,13,13,13,14,14,8,13,14,15,16,15,14,13,14,15,15,16,17,11,13,13,14,16,2,15,18,13,1,14,1,14,13,9,13,14,13,13,12,1,4
MOD15A2.A2004297.fn_usmetypp.005.2007328114416.Lai_1km,MOD15A2,A2004297,fn_usmetypp,2007328114416,Lai_1km,13,16,19,22,23,23,26,17,19,26,24,23,26,29,18,25,30,33,32,31,28,22,27,30,25,27,39,20,23,23,21,27,18,23,29,20,9,21,10,21,20,15,20,18,18,17,17,8,12
MOD15A2.A2004305.fn_usmetypp.005.2007330103823.FparExtra_QC,MOD15A2,A2004305,fn_usmetypp,2007330103823,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000,10000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000
MOD15A2.A2004305.fn_usmetypp.005.2007330103823.FparLai_QC,MOD15A2,A2004305,fn_usmetypp,2007330103823,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100000,00000000,00000000,00100000,00000000,00000000,00000000,00100000,00000000,00100000,00000000,00000000,00000000,00000000,00000000,00100000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004305.fn_usmetypp.005.2007330103823.FparStdDev_1km,MOD15A2,A2004305,fn_usmetypp,2007330103823,FparStdDev_1km,10,12,10,8,7,7,7,10,8,7,7,7,9,0,8,7,4,7,8,8,4,9,6,8,10,10,8,8,6,3,10,10,11,10,11,4,4,10,3,11,12,6,7,6,6,6,8,3,10
MOD15A2.A2004305.fn_usmetypp.005.2007330103823.Fpar_1km,MOD15A2,A2004305,fn_usmetypp,2007330103823,Fpar_1km,67,70,76,81,85,85,88,75,82,85,85,86,81,96,81,85,92,86,83,84,94,83,91,82,77,79,83,81,91,80,76,77,80,79,79,77,60,76,65,76,74,71,72,70,72,71,73,49,67
MOD15A2.A2004305.fn_usmetypp.005.2007330103823.LaiStdDev_1km,MOD15A2,A2004305,fn_usmetypp,2007330103823,LaiStdDev_1km,4,11,12,13,13,14,16,12,13,14,14,14,13,8,13,14,15,14,14,14,15,14,16,14,13,13,14,13,16,2,12,13,15,14,15,2,1,12,1,12,12,3,3,2,3,3,4,1,4
MOD15A2.A2004305.fn_usmetypp.005.2007330103823.Lai_1km,MOD15A2,A2004305,fn_usmetypp,2007330103823,Lai_1km,12,16,19,23,26,27,32,18,23,26,26,28,23,57,22,26,39,27,25,25,44,24,36,24,20,21,25,23,37,18,19,20,23,22,22,16,11,19,12,19,18,13,14,13,14,13,15,9,12
MOD15A2.A2004313.fn_usmetypp.005.2007332154639.FparExtra_QC,MOD15A2,A2004313,fn_usmetypp,2007332154639,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000,10100000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000
MOD15A2.A2004313.fn_usmetypp.005.2007332154639.FparLai_QC,MOD15A2,A2004313,fn_usmetypp,2007332154639,FparLai_QC,00000000,00000000,00000000,01100001,01100001,01100001,01100001,00000000,00000000,01100001,01100001,01100001,00000000,01100001,00000000,01100001,01100001,01100001,00000000,00000000,01100001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004313.fn_usmetypp.005.2007332154639.FparStdDev_1km,MOD15A2,A2004313,fn_usmetypp,2007332154639,FparStdDev_1km,6,6,7,248,248,248,248,7,0,248,248,248,8,248,6,248,248,248,7,5,248,4,0,7,12,8,6,6,6,10,10,10,9,9,9,9,0,9,10,11,10,9,9,9,8,8,9,0,8
MOD15A2.A2004313.fn_usmetypp.005.2007332154639.Fpar_1km,MOD15A2,A2004313,fn_usmetypp,2007332154639,Fpar_1km,47,47,50,89,91,90,89,48,53,90,90,89,70,90,47,90,91,90,75,74,90,56,62,73,71,73,72,72,72,67,66,67,75,75,75,65,40,64,19,67,65,64,55,59,61,61,56,35,51
MOD15A2.A2004313.fn_usmetypp.005.2007332154639.LaiStdDev_1km,MOD15A2,A2004313,fn_usmetypp,2007332154639,LaiStdDev_1km,1,1,2,248,248,248,248,2,0,248,248,248,3,248,1,248,248,248,4,2,248,1,0,4,10,4,3,3,3,4,4,4,11,11,11,3,0,3,1,5,4,3,2,3,3,3,2,0,2
MOD15A2.A2004313.fn_usmetypp.005.2007332154639.Lai_1km,MOD15A2,A2004313,fn_usmetypp,2007332154639,Lai_1km,7,7,8,43,47,45,42,7,9,46,46,43,14,45,7,45,47,46,16,16,44,9,11,15,16,15,15,15,15,13,12,13,18,18,18,12,6,12,2,13,12,12,9,10,11,11,9,6,8
MOD15A2.A2004321.fn_usmetypp.005.2007335031704.FparExtra_QC,MOD15A2,A2004321,fn_usmetypp,2007335031704,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,00000000,01000000,01000000,01000000,11000000,00000000,10000000,01000000,01000000,01000000,01000000,00000000,01000000,00000000,00110000,11000000,00000000
