HDFname,Product,Date,Site,ProcessDate,Band,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MOD15A2.A2000089.fn_usmetypp.005.2006262225118.FparStdDev_1km,MOD15A2,A2000089,fn_usmetypp,2006262225118,FparStdDev_1km,9,9,8,5,9,9,248,9,10,10,11,7,248,3,6,10,11,9,10,10,14,10,10,9,10,10,10,11,10,5,6,0,5,9,0,7,6,6,5,3,6,6,7,8,8,6,7,4,8
MOD15A2.A2000089.fn_usmetypp.005.2006262225118.Fpar_1km,MOD15A2,A2000089,fn_usmetypp,2006262225118,Fpar_1km,62,63,63,66,56,46,35,58,61,57,51,43,30,48,61,57,59,60,57,57,62,57,58,63,57,58,57,57,60,61,61,62,61,64,62,62,41,61,49,59,64,61,55,57,58,61,63,41,57
MOD15A2.A2000089.fn_usmetypp.005.2006262225118.LaiStdDev_1km,MOD15A2,A2000089,fn_usmetypp,2006262225118,LaiStdDev_1km,4,4,4,2,3,3,248,4,4,4,4,2,248,1,3,4,4,4,4,4,12,4,4,4,4,4,4,5,4,2,2,0,2,4,0,3,1,2,1,1,2,3,2,3,3,3,3,1,3
MOD15A2.A2000089.fn_usmetypp.005.2006262225118.Lai_1km,MOD15A2,A2000089,fn_usmetypp,2006262225118,Lai_1km,15,15,15,16,12,9,8,13,14,13,10,8,6,9,14,13,14,14,13,13,17,12,13,15,13,13,13,13,14,14,13,14,14,15,14,14,8,13,11,13,15,13,12,12,13,14,14,10,12
MOD15A2.A2000105.fn_usmetypp.005.2006266164903.FparExtra_QC,MOD15A2,A2000105,fn_usmetypp,2006266164903,FparExtra_QC,01000000,01000000,01000000,00000000,00000000,00000000,00000000,01000000,01000000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,00000000,00000000,00000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01001000,01001000,01001000,01000000,01000000,01000000,01000000,01001000,11001000,01000000,11000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,10000000,00000000
MOD15A2.A2000105.fn_usmetypp.005.2006266164903.FparLai_QC,MOD15A2,A2000105,fn_usmetypp,2006266164903,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2000105.fn_usmetypp.005.2006266164903.FparStdDev_1km,MOD15A2,A2000105,fn_usmetypp,2006266164903,FparStdDev_1km,10,11,13,13,13,10,8,14,13,13,13,14,14,13,15,12,12,12,12,12,11,13,12,12,14,14,13,12,9,9,8,8,8,8,15,9,4,10,3,8,15,10,7,10,10,10,11,0,10
MOD15A2.A2000105.fn_usmetypp.005.2006266164903.Fpar_1km,MOD15A2,A2000105,fn_usmetypp,2006266164903,Fpar_1km,58,59,66,68,68,59,63,62,67,69,67,66,69,73,65,73,73,73,74,75,78,68,73,74,70,71,76,77,54,49,47,64,65,65,70,49,28,57,43,62,65,57,41,57,57,57,59,36,56
MOD15A2.A2000105.fn_usmetypp.005.2006266164903.LaiStdDev_1km,MOD15A2,A2000105,fn_usmetypp,2006266164903,LaiStdDev_1km,4,5,14,15,15,4,4,13,15,16,15,15,17,18,16,16,16,16,17,18,18,15,16,17,17,18,18,18,4,4,3,4,4,4,18,3,1,4,1,4,16,4,2,4,4,4,5,0,4
MOD15A2.A2000105.fn_usmetypp.005.2006266164903.Lai_1km,MOD15A2,A2000105,fn_usmetypp,2006266164903,Lai_1km,13,14,20,21,21,13,15,17,20,22,21,20,22,26,20,25,24,24,26,27,30,21,24,25,23,25,28,28,15,13,12,15,16,16,24,13,7,13,9,15,20,13,10,12,13,13,14,8,12
MOD15A2.A2000113.fn_usmetypp.005.2006272074725.FparExtra_QC,MOD15A2,A2000113,fn_usmetypp,2006272074725,FparExtra_QC,00000000,00001000,00001000,00000000,00001000,00001000,00001000,00000000,00000000,00001000,00001000,00001000,00001000,00001000,00000000,00000000,00001000,00001000,00001000,00001000,01000000,01000000,01000000,01000000,00000000,00000000,00000000,01001000,01000000,00000000,00000000,00000000,01000000,01001000,01001000,01000000,10100000,00000000,11000000,01000000,01000000,01001000,01000000,00000000,00000000,00100000,01000000,10001000,00001000
MOD15A2.A2000113.fn_usmetypp.005.2006272074725.FparLai_QC,MOD15A2,A2000113,fn_usmetypp,2006272074725,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2000113.fn_usmetypp.005.2006272074725.FparStdDev_1km,MOD15A2,A2000113,fn_usmetypp,2006272074725,FparStdDev_1km,10,10,10,10,10,8,6,10,11,10,8,8,3,4,10,11,7,7,6,7,10,10,9,9,9,9,9,10,10,10,9,10,10,11,11,10,6,9,5,7,10,9,9,10,9,9,8,5,9
MOD15A2.A2000113.fn_usmetypp.005.2006272074725.Fpar_1km,MOD15A2,A2000113,fn_usmetypp,2006272074725,Fpar_1km,59,57,55,59,67,64,57,53,55,61,65,59,51,60,56,63,69,64,57,63,65,58,63,59,56,58,61,66,59,54,51,53,61,61,62,52,30,51,36,58,62,58,51,48,51,51,58,38,52
MOD15A2.A2000113.fn_usmetypp.005.2006272074725.LaiStdDev_1km,MOD15A2,A2000113,fn_usmetypp,2006272074725,LaiStdDev_1km,5,5,5,5,8,4,3,4,5,5,5,4,1,2,5,6,5,4,3,4,6,5,5,4,4,4,5,6,5,4,3,4,6,6,6,4,2,3,2,3,6,4,3,3,3,4,4,2,3
MOD15A2.A2000113.fn_usmetypp.005.2006272074725.Lai_1km,MOD15A2,A2000113,fn_usmetypp,2006272074725,Lai_1km,16,15,14,16,21,18,14,13,14,17,19,16,12,16,15,18,21,18,14,17,20,16,18,16,15,15,17,20,16,14,12,13,18,18,18,13,6,12,8,15,18,16,13,11,12,13,15,11,13
MOD15A2.A2000121.fn_usmetypp.005.2006273030735.FparExtra_QC,MOD15A2,A2000121,fn_usmetypp,2006273030735,FparExtra_QC,01000000,01001000,00110000,01000000,01001000,00110000,00110000,01000000,01000000,01001000,01000000,00100000,01000000,00000000,01000000,01001000,01000000,01000000,01000000,01001000,01000000,01000000,00100000,01000000,01000000,01001000,01000000,01000000,00110000,01000000,01000000,01000000,00100000,01000000,01001000,00100000,10110000,01000000,11000000,01000000,01000000,01000000,00110000,01000000,01001000,00100000,01000000,10100000,01000000
MOD15A2.A2000121.fn_usmetypp.005.2006273030735.FparLai_QC,MOD15A2,A2000121,fn_usmetypp,2006273030735,FparLai_QC,00000000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00010000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00010000,00000000,00000000,00000000,00000000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00001000,00000000,00000000,00001000,00000000,00010000,00000000
MOD15A2.A2000121.fn_usmetypp.005.2006273030735.FparStdDev_1km,MOD15A2,A2000121,fn_usmetypp,2006273030735,FparStdDev_1km,10,10,4,9,8,10,10,10,10,6,10,10,11,10,8,6,5,10,10,10,9,9,11,10,11,9,7,8,8,10,11,8,10,9,8,10,4,5,4,10,10,9,4,8,7,9,10,4,5
MOD15A2.A2000121.fn_usmetypp.005.2006273030735.Fpar_1km,MOD15A2,A2000121,fn_usmetypp,2006273030735,Fpar_1km,59,57,45,60,64,43,43,54,55,64,54,52,49,60,65,67,54,56,53,59,57,51,48,52,47,51,48,60,43,49,46,45,51,60,58,43,34,45,42,51,56,52,45,49,50,50,53,26,45
MOD15A2.A2000121.fn_usmetypp.005.2006273030735.LaiStdDev_1km,MOD15A2,A2000121,fn_usmetypp,2006273030735,LaiStdDev_1km,5,4,1,4,5,3,3,4,4,3,4,4,4,6,5,4,2,4,4,5,4,4,4,4,4,4,2,4,3,4,4,3,4,4,3,3,1,2,1,4,4,3,1,3,2,3,4,1,2
MOD15A2.A2000121.fn_usmetypp.005.2006273030735.Lai_1km,MOD15A2,A2000121,fn_usmetypp,2006273030735,Lai_1km,17,15,10,16,18,10,10,14,14,18,14,13,12,17,18,20,13,15,13,16,15,13,11,13,11,13,11,16,9,12,11,10,12,16,15,10,7,10,10,13,15,13,10,12,12,12,14,7,10
MOD15A2.A2000129.fn_usmetypp.005.2006274234100.FparExtra_QC,MOD15A2,A2000129,fn_usmetypp,2006274234100,FparExtra_QC,01001000,01001000,00110000,00100000,00100000,00100000,00100000,01001000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00110000,00100000,00100000,00100000,00110000,00110000,00100000,00110000,00100000,00110000,00110000,00110000,00100000,00110000,00110000,00110000,00100000,00110000,01000000,01000000,00110000,10100000,01000000,11000000,01000000,00110000,00110000,01000000,01000000,01000000,01000000,00100000,10110000,01000000
MOD15A2.A2000129.fn_usmetypp.005.2006274234100.FparLai_QC,MOD15A2,A2000129,fn_usmetypp,2006274234100,FparLai_QC,00000000,00000000,00010000,00000000,00010000,01100001,01101001,00000000,00000000,00000000,01100001,01101001,01100001,01101001,00000000,01100001,01101001,01101001,01100001,00001000,00001000,00001000,01110001,01110001,00001000,00001000,01101001,01110001,00001000,00010000,00001000,01101001,00001000,01100001,01100001,01110001,00001000,00000000,00000000,00000000,00010000,00001000,00000000,00000000,00000000,00000000,00001000,00001000,01100001
MOD15A2.A2000129.fn_usmetypp.005.2006274234100.FparStdDev_1km,MOD15A2,A2000129,fn_usmetypp,2006274234100,FparStdDev_1km,9,10,10,10,10,248,248,10,9,8,248,248,248,248,8,248,248,248,248,6,6,6,248,248,6,0,248,248,0,6,5,248,0,248,248,248,5,10,4,5,13,12,9,11,10,10,8,6,248
MOD15A2.A2000129.fn_usmetypp.005.2006274234100.Fpar_1km,MOD15A2,A2000129,fn_usmetypp,2006274234100,Fpar_1km,60,45,33,34,33,20,20,34,33,30,20,32,23,17,30,22,45,39,29,25,25,40,22,20,25,20,20,22,31,25,23,24,41,26,15,22,25,43,31,36,28,28,42,53,44,33,42,29,25
MOD15A2.A2000129.fn_usmetypp.005.2006274234100.LaiStdDev_1km,MOD15A2,A2000129,fn_usmetypp,2006274234100,LaiStdDev_1km,5,3,3,3,3,248,248,3,2,2,248,248,248,248,2,248,248,248,248,1,1,2,248,248,1,0,248,248,0,1,1,248,0,248,248,248,1,3,1,1,3,3,3,4,3,3,2,2,248
MOD15A2.A2000129.fn_usmetypp.005.2006274234100.Lai_1km,MOD15A2,A2000129,fn_usmetypp,2006274234100,Lai_1km,17,10,7,7,7,4,4,7,7,6,4,7,5,3,6,4,11,9,6,5,5,8,4,4,5,3,4,4,6,5,4,5,9,5,3,4,5,10,7,7,6,6,9,14,10,7,9,7,5
MOD15A2.A2000137.fn_usmetypp.005.2006276150410.FparExtra_QC,MOD15A2,A2000137,fn_usmetypp,2006276150410,FparExtra_QC,01001000,01001000,00001000,00001000,00001000,00001000,00100000,01001000,01001000,01001000,00001000,00001000,01000000,01000000,00001000,00001000,00001000,00000000,00000000,00000000,00000000,00001000,01000000,01000000,01000000,00000000,00000000,00000000,01001000,01000000,01000000,01000000,00000000,00000000,00000000,01001000,10001000,00001000,10001000,00000000,00000000,00000000,01000000,00001000,00001000,00000000,00000000,10001000,00001000
MOD15A2.A2000137.fn_usmetypp.005.2006276150410.FparLai_QC,MOD15A2,A2000137,fn_usmetypp,2006276150410,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2000137.fn_usmetypp.005.2006276150410.FparStdDev_1km,MOD15A2,A2000137,fn_usmetypp,2006276150410,FparStdDev_1km,10,10,8,6,6,6,10,6,6,3,6,3,10,10,11,4,3,11,10,10,11,3,11,9,10,6,4,10,10,9,11,11,11,11,10,10,5,5,5,5,10,10,10,3,3,10,10,3,3
MOD15A2.A2000137.fn_usmetypp.005.2006276150410.Fpar_1km,MOD15A2,A2000137,fn_usmetypp,2006276150410,Fpar_1km,72,72,67,67,70,69,59,67,66,72,71,58,55,60,67,72,75,61,59,59,60,64,65,58,59,55,59,60,61,58,55,55,54,56,58,53,38,54,44,53,53,51,51,51,52,51,51,42,52
MOD15A2.A2000137.fn_usmetypp.005.2006276150410.LaiStdDev_1km,MOD15A2,A2000137,fn_usmetypp,2006276150410,LaiStdDev_1km,12,11,5,3,4,4,5,3,3,2,4,1,5,5,11,3,2,6,5,5,6,2,10,5,5,2,2,6,6,4,5,5,4,5,5,4,1,2,2,2,4,4,4,1,1,4,4,1,1
MOD15A2.A2000137.fn_usmetypp.005.2006276150410.Lai_1km,MOD15A2,A2000137,fn_usmetypp,2006276150410,Lai_1km,25,25,20,20,21,20,17,19,19,22,22,15,15,17,22,22,24,18,16,16,17,17,21,16,16,14,15,17,18,16,14,14,14,15,16,14,9,13,11,13,14,13,13,12,12,13,13,12,12
MOD15A2.A2000145.fn_usmetypp.005.2006278221221.FparExtra_QC,MOD15A2,A2000145,fn_usmetypp,2006278221221,FparExtra_QC,01001000,01000000,01000000,00001000,00001000,00001000,00001000,00000000,00000000,00001000,00001000,00001000,00001000,00100000,00000000,00000000,00000000,00100000,00100000,00100000,00100000,00000000,00000000,00000000,01000000,01000000,00100000,01000000,00000000,00000000,00001000,01000000,01000000,01000000,01000000,00000000,10000000,00000000,10001000,01000000,01001000,01001000,01000000,01000000,01000000,00001000,01000000,11001000,00001000
MOD15A2.A2000145.fn_usmetypp.005.2006278221221.FparLai_QC,MOD15A2,A2000145,fn_usmetypp,2006278221221,FparLai_QC,00000000,00000000,01101001,00000000,00000000,00000000,01100001,00000000,00000000,00000000,00000000,01100001,01100001,00001000,00000000,00000000,00000000,00000000,00001000,00001000,00001000,00000000,00000000,00000000,00000000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2000145.fn_usmetypp.005.2006278221221.FparStdDev_1km,MOD15A2,A2000145,fn_usmetypp,2006278221221,FparStdDev_1km,9,8,248,5,6,5,248,4,6,5,7,248,248,9,6,7,6,5,10,10,9,5,4,3,8,10,9,9,4,5,6,9,10,10,11,3,4,4,4,11,8,6,8,10,8,9,5,5,8
MOD15A2.A2000145.fn_usmetypp.005.2006278221221.Fpar_1km,MOD15A2,A2000145,fn_usmetypp,2006278221221,Fpar_1km,51,41,56,62,74,66,51,59,61,66,71,49,40,42,62,68,73,36,45,46,51,60,65,57,49,46,50,51,59,54,48,49,52,52,57,52,40,45,43,54,53,58,49,53,47,48,56,41,48
MOD15A2.A2000145.fn_usmetypp.005.2006278221221.LaiStdDev_1km,MOD15A2,A2000145,fn_usmetypp,2006278221221,LaiStdDev_1km,4,2,248,3,5,3,248,2,3,3,5,248,248,3,3,4,4,1,3,3,4,2,2,1,3,3,3,4,2,2,2,3,4,4,5,1,1,1,1,5,4,3,3,4,3,3,2,2,3
MOD15A2.A2000145.fn_usmetypp.005.2006278221221.Lai_1km,MOD15A2,A2000145,fn_usmetypp,2006278221221,Lai_1km,13,9,14,17,24,19,13,15,16,19,22,12,9,9,17,20,24,7,10,11,13,16,18,14,12,11,12,13,15,13,11,12,13,13,16,12,9,10,10,14,14,15,12,13,12,12,14,12,12
MOD15A2.A2000153.fn_usmetypp.005.2006282005004.FparExtra_QC,MOD15A2,A2000153,fn_usmetypp,2006282005004,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100000,01000000,00000000,00000000,00000000,00000000,01000000,01000000,00000000,00000000,10000000,00000000,10000000,01000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000
